F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Class
-1.23,3.6313,-11.85,1622.63,-5.5788,2705.65,5.547,-2.8815,1,-1790.45,11648.688,0,166.896,11.326,-44176.587,-7.9572,-1040.85,1821.08,14.958,-1.756326,,FALSE
-4.23,6.802,-16.314,2082.28,-6.7074,2810.91,4.101,-0.33132,0,-2481.49,12870.9,0,198.64,11.086,-43923.09,-10.18,-66.06,2338.14,10.0974,-1.7419386,,FALSE
-4.23,3.7422,-14.136,1695.36,-5.45918,2905.08,5.2395,-1.1991,1,-2209.95,10997.4,1,220.86,7.5486,-44162.291,-8.4582,-390.27,4833.54,13.305,-2.063,-16.19,TRUE
-4.23,3.8392,-9.057,1699.43,-5.8398,2649.89,4.3926,-2.0682,0,-2706.85,10385.1,1,179.494,6.6894,-44223.03,-8.1578,2660.85,2904.14,10.9305,-1.9966,-16.73,TRUE
-1.23,3.6793,-11.551,2889.48,-13.998,3945.78,3.5409,-0.41649,1,-2997.85,11984.7,0,172.254,6.372,-44163.639,-9.291,546.75,1834.712,13.23,-5.128,-14,FALSE
-4.23,3.6713,-6.131,1661.176,-5.585,2556.28,12.933,-2.0685,0,-2770.95,11920.26,1,166.37,8.016,-44153.166,-8.0448,3225.75,1307.34,10.2066,-2.0126,-13.61,FALSE
-4.23,3.8346,-8.82,1676.043,-6.5178,2707.014,3.1731,-4.893,0,-2563.68,6802.2,1,183.46,6.6342,-44152.356,-10.26,248.25,2204.74,9.4068,-2.3148,-15.82,TRUE
-1.23,4.1693,-11.635,1681.21,-7.12,3193.58,4.0551,-5.109,0,-2355.95,10781.7,0,177.27,6.8594,-44249.94,-16.096,-200.52,2222.94,12.684,-4.676,,TRUE
-1.23,4.1963,-22.408,1692.96,-6.5288,2700.31,2.8773,-0.5931,1,-2530.15,11266.8,1,190.18,10.276,-44423.97,-9.4062,318.15,2036.54,15.069,-1.7406488,-14.91,TRUE
-4.23,3.6913,-15.1067,2778.48,-5.877,2956.48,3.4257,-0.42534,1,-2966.25,10864.5,0,162.2676,7.5976,-44032.08,-13.536,-50.43,1652.88,13.155,-3.231,,FALSE
-1.23,4.667,-19.444,1662.464,-5.7144,2642.8,4.4469,-10.776,0,-2447.16,8912.7,0,174.594,8.902,-44198.49,-7.76678,-1597.05,1172.94,10.2609,-2.5474,-15.21,TRUE
-4.23,3.6008,-13.5388,1680.192,-5.8974,2434.18,3.6537,-3.0843,1,-3019.35,11954.4,1,172.188,6.4296,-44273.01,-8.2074,3585.75,2927.74,10.7109,-7.61,-16.12,TRUE
-4.23,5.103,-15.0491,1747.61,-11.528,2702.87,3.7161,-1.2675,0,-2584.66,7531.2,0,189.4,8.116,-44156.13,-9.0116,1180.95,1954.72,9.648,-1.91354,-15.27,TRUE
-1.23,4.522,-8.602,1664.501,-6.5262,1455.78,6.168,-1.731,0,-2609.57,11906.64,0,206.96,6.2734,-44104.53,-8.4802,2104.05,1751.34,12.78,-2.3166,,FALSE
-1.23,6.658,-11.388,2015.38,-6.5294,3598.48,4.0221,-0.39531,1,-2488.25,10872.9,0,167.958,6.4108,-44128.5,-8.6924,-317.43,2228.74,12.099,-2.6366,,TRUE
-4.23,3.6361,-17.245,1689.38,-6.8088,2855.98,4.1382,-2.8746,1,-1969.25,11889.72,0,176.592,8.258,-44091.6,-11.61,-312.78,1713.66,11.9316,-1.744552,,FALSE
-4.23,4.92,-11.467,1696.87,-5.5768,2627.57,3.381,-3.372,1,-2657.75,14233.2,1,177.84,9.72,-44241.03,-9.706,1264.65,1830.614,9.891,-1.748654,,FALSE
-1.23,3.8447,-8.838,1680.174,-6.4546,2916.38,8.88,-10.02,1,-2313.85,11813.67,1,177.146,7.6422,-45023.13,-8.5774,-646.05,1654.4,9.8571,-2.0574,,FALSE
-1.23,3.7186,-11.735,1655.43,-9.034,2736.49,2.9709,-3.513,1,-2315.25,12210.6,0,170.242,6.3558,-44132.937,-8.4738,1003.05,1951.44,13.365,-4.594,-14.04,FALSE
-1.23,7.41,-15.98,1699.93,-6.7854,2278.38,5.988,-3.1152,0,-2562.33,11675.58,1,171.484,6.6956,-44344.74,-7.7944,11235.75,1766.9,13.323,-1.77918,-13.65,FALSE
-1.23,4.406,-15.916,1638.05,-7.648,2816.68,3.828,-3.696,1,-2381.25,11224.5,1,220.1,6.342,-44114.49,-8.1126,638.85,2220.74,12.558,-3.946,,TRUE
-4.23,3.8245,-11.955,1706.1,-6.435,2809.22,5.58,-4.89,1,-2860.85,12450.9,1,179.528,7.4636,-44105.94,-10.424,624.75,2335.34,9.8718,-3.3808,-15.92,TRUE
-1.23,4.871,-13.5904,1686.87,-5.7494,2603.08,6.087,-6.105,1,-2633.75,11829.12,0,173.9,7.9496,-44177.994,-8.1094,4329.75,1702.96,15.33,-2.9078,,FALSE
-1.23,4.538,-21.028,1395.48,-5.7592,2712.319,2.6433,-0.5853,0,-2355.05,10915.5,0,180.21,12.28,-44136.147,-11.952,-320.52,1928,12.555,-1.87828,-14.81,TRUE
-4.23,3.9526,-12.046,1628.8,-5.79,2685.83,5.991,-2.8947,1,-2339.15,12139.8,1,177.814,9.028,-45389.73,-8.8218,581.55,2639.94,13.305,-2.6792,,TRUE
-4.23,3.9964,-18.864,1688.56,-5.965,4086.78,3.8862,-5.223,0,-2293.65,10438.5,0,179.582,6.2748,-44140.932,-8.05,-2761.05,1644.14,11.4411,-2.159,,TRUE
-4.23,3.5016,-14.1182,1661.939,-5.44248,2585.88,5.961,-5.577,0,-2050.25,11872.05,0,161.857,6.9086,-44202.66,-7.69266,4866.75,930.54,13.518,-2.885,,FALSE
-4.23,4.2955,-13.5251,1842.08,-5.5234,3981.78,7.974,-2.4291,1,-2753.35,12410.4,1,163.908,6.4058,-44101.08,-9.5164,860.85,2596.54,11.7168,-1.80108,-15.49,FALSE
-1.23,4.33,-14.9292,1809.68,-7.912,3114.48,4.401,-2.2935,0,-2681.05,12507.9,0,178.17,7.1632,-44154.921,-8.81,1374.75,2039.36,10.8657,-2.4934,-15.64,FALSE
-1.23,3.9674,-16.615,1712.9,-5.41578,2805.32,6.303,-3.405,0,-2659.65,11775.9,0,162.552,8.09,-44143.713,-7.7928,7221.75,5203.54,10.5069,-3.748,,FALSE
-1.23,4.0972,-8.628,1673.013,-6.4972,2473.68,5.787,-11.25,1,-2678.15,11096.4,1,179.73,7.4346,-44160.56,-7.922,3648.75,1579.14,14.628,-1.746268,,FALSE
-1.23,7.221,-19.031,1812.08,-6.5308,2793.2,3.9879,-0.4935,0,-2509.813,11312.1,1,191.74,8.304,-44115.3,-9.0092,543.75,2373.94,10.2696,-1.79506,-15.48,FALSE
-4.23,3.462,-21.912,1707.43,-8.198,4137.78,2.6835,-4.431,1,-2183.05,10956,1,165.254,6.2806,-44274.09,-8.1412,-49.59,1938.52,11.2305,-2.0456,,TRUE
-1.23,4.578,-12.221,1753.59,-6.2798,2760.23,6.189,-2.1702,0,-2645.85,1714.2,0,164.856,8.098,-44136.951,-9.79,677.55,2422.74,9.31437,-4.978,-15.26,TRUE
-1.23,3.592,-10.397,1677.124,-7.306,2755.18,3.1206,-6.372,1,-1789.05,11770.32,0,168.828,14.258,-44147.49,-7.76868,-4133.25,1749.52,13.557,-1.76336,-11.54,FALSE
-4.23,7.6,-16.004,1719.72,-5.7268,2636.27,5.379,-1.788,1,-2550.82,11853.87,1,165.624,9.014,-44432.07,-9.0116,1366.35,1527.94,13.593,-1.78844,,FALSE
-1.23,3.9355,-16.866,1785.58,-5.873,2946.48,2.60337,-3.0315,0,-2806.95,12043.8,1,169.296,8.506,-44027.46,-9.966,620.25,2948.94,12.138,-3.034,-13.61,FALSE
-4.23,3.8237,-12.936,1717.19,-9.44,2857.98,2.40366,-1.9701,0,-2283.85,14381.4,1,168.81,9.154,-44195.7,-9.794,-99,1945.38,9.6711,-1.740017,-14.62,TRUE
-4.23,3.8066,-18.245,1668.026,-9.032,2494.18,4.5156,-4.152,0,-2539.25,11633.271,1,169.428,6.7234,-44208.9,-9.728,280.65,1804.16,21.582,-1.7408724,,FALSE
-4.23,3.493,4.73,1699.53,-6.0414,2847.58,4.6191,-2.5866,0,-1664.45,11669.01,0,168.222,8.966,-44157.385,-8.2828,85.92,2544.34,16.05,-2.6518,-14.21,FALSE
-4.23,4.0296,-10.188,1688.57,-6.4488,3003.58,2.9727,-5.487,1,-2313.85,11166.6,1,162.005,7.8848,-44100.18,-8.072,-1418.25,2419.14,15.111,-1.7400501,,TRUE
-1.23,4.2971,-8.911,1586.4,-5.4674,2584.88,5.406,-1.1196,0,-2478.07,5170.2,0,179.564,8.4,-44267.22,-10.948,-101.79,640.14,9.6699,-2.2214,-15.96,TRUE
-1.23,4.1185,-15.1347,1629.5,-5.37762,2742.15,3.1827,-2.0565,0,-2277.85,11251.2,1,164.044,8.758,-43724.73,-13.194,-266.88,2121.14,12.585,-2.0768,-15.41,TRUE
-4.23,3.9558,-11.08,1643.8,-7.38,2737.55,5.919,-0.6642,0,-2315.65,11020.5,0,172.572,9.208,-44100,-9.1556,-583.95,1773.48,14.379,-1.78966,,TRUE
-4.23,4.0663,-15.538,1831.38,-7.008,2865.38,3.7269,-2.0148,0,-2619.35,10254.6,1,163.42,9.678,-43742.43,-8.885,14.55,1852.812,10.5243,-1.86614,-15.58,FALSE
-4.23,4.98,-17.252,1619.1,-5.539,2708.319,7.908,-2.043,0,-2431.02,9546.6,1,195.86,7.0154,-44227.32,-12.976,-182.13,3736.54,10.8798,-1.747542,-16.26,TRUE
-4.23,3.8089,-9.529,1565.08,-6.0906,2400.38,4.0893,-1.2987,0,-2171.25,11710.14,0,180.74,6.2966,-44216.31,-7.77214,-388.83,1845.348,11.8476,-1.743978,,FALSE
-1.23,7.678,-17.966,1692.62,-8.472,3482.78,6.687,-10.701,0,-2518.511,11168.4,0,182.3,6.678,-44254.02,-9.614,-77.25,1975.28,15.693,-2.507,,TRUE
-1.23,4.0868,-22.866,1677.68,-5.8652,2793.95,6.399,-5.796,1,-2297.55,13806.9,0,167.462,12.394,-43891.68,-13.314,-138.3,3038.94,10.1406,-1.79574,-14.98,FALSE
-4.23,4.439,-7.17,1685.96,-6.9794,1854.08,2.53203,-1.5108,0,-2686.35,11653.317,1,182.8,6.4436,-44195.25,-8.0402,5799.75,1958.42,20.988,-6.026,,TRUE
-1.23,3.512,-10.549,1689.34,-5.588,5130.78,5.496,-4.818,0,-1686.55,11073,0,189.58,6.1661,-44494.23,-8.1238,-865.05,3641.94,13.917,-2.3048,,TRUE
-4.23,3.6111,-15.1536,1768.74,-7.1304,2955.08,3.9111,-2.7909,1,-3494.05,8557.2,0,192.18,6.751,-43951.5,-9.608,784.35,2090.94,10.1541,-1.7410556,-15.63,TRUE
-4.23,4.944,-13.6465,1544.18,-5.5086,2721.269,4.773,-1.1052,1,-2369.05,10582.8,0,191.06,9.266,-44623.53,-9.0512,-1100.25,996.14,11.964,-1.75981,,FALSE
-4.23,4.2787,-11.144,1576.87,-6.0568,2629.71,3.3045,-1.0674,0,-2450.69,13095.9,0,167.09,8.278,-44242.29,-10.292,117.54,1809.72,9.516,-2.0668,,FALSE
-1.23,3.8944,-14.8943,1688.82,-7.1402,2737.69,3.984,-10.347,1,-2876.15,7417.2,0,172.048,8.02,-44056.8,-8.0442,3858.75,2003.08,9.5979,-2.1988,,TRUE
-4.23,6.297,-15.373,1835.78,-6.9128,2666.16,3.834,-0.8106,1,-2588.08,11835.24,1,176.664,9.934,-43929.51,-9.69,1308.45,2075.14,17.04,-2.0922,-16.28,TRUE
-1.23,4.394,-15.984,2217.08,-6.7268,2812.39,4.9389,-0.4584,0,-2447.42,12622.5,0,170.42,11.542,-44100.69,-9.131,-266.01,1879.8,10.3623,-1.7407184,-15.09,FALSE
-1.23,4.868,-12.864,1697.49,-6.0526,2641.6,6.15,-2.796,1,-2587.77,10161,1,199.26,7.2712,-44048.13,-7.8262,6243.75,2362.74,11.0892,-3.049,,TRUE
-1.23,3.6581,-10.097,2586.98,-6.1538,7740.78,9.054,-0.39468,0,-2206.45,12075.9,0,162.858,6.1326,-44114.82,-9.994,-290.94,2205.34,12.39,-1.82148,-12.58,FALSE
-4.23,3.6026,-21.691,1835.08,-6.0316,3154.78,5.592,-2.8332,1,-3479.95,15679.2,0,197.52,7.3682,-44188.659,-9.052,762.45,1342.74,9.7134,-2.133,-14.2,FALSE
-4.23,3.48936,-21.18,1759.26,-9.792,3946.78,4.7235,-4.761,1,-4620.65,12195.6,1,186.64,6.4494,-44016.48,-9.742,652.65,1843.0008,13.524,-3.1952,,FALSE
-1.23,6.488,-5.053,1577.21,-6.529,2519.88,5.808,-1.9308,0,-2481.94,6922.2,1,183.26,7.471,-44209.68,-11.2,-69.81,2173.74,9.9357,-1.82078,,TRUE
-4.23,3.5352,-20.35,1669.6142,-8.408,2802.5,4.6161,-12.876,0,-1374.65,11849.91,1,198.48,8.158,-44157.311,-10.03,-520.05,1729.9,10.0386,-1.89748,-13.75,FALSE
-1.23,4.0376,-10,1701.75,-7.1802,2807.14,2.8998,-3.9,0,-2493.88,11335.74,0,186.86,8.888,-44163.303,-9.2162,20.28,1888.44,11.7126,-3.2954,,FALSE
-4.23,4.3759,-22.642,1734.13,-6.6744,2589.48,2.8407,-0.5559,1,-2604.37,11709.15,1,162.248,7.8498,-43712.13,-7.74764,9564.75,1754.28,14.682,-1.746452,,FALSE
-4.23,4.808,-18.883,1748.05,-7.756,2790.56,3.2367,-1.8219,1,-2547.38,9442.5,0,183.02,9.022,-44206.74,-13.98,12.87,2036,9.6003,-1.742756,-14.17,TRUE
-1.23,4.0946,-12.533,1673.788,-5.9074,2693.31,5.592,-7.869,0,-2511.024,12484.2,0,162.778,8.966,-44105.88,-10.63,75.66,1282.94,10.5429,-1.77516,-13.49,FALSE
-1.23,3.6605,-12.684,1737.89,-6.2246,4234.78,4.3818,-4.266,1,-2563.71,11543.64,0,166.566,6.4348,-44168.448,-10.636,-88.23,2219.34,12.777,-1.7414672,,TRUE
-1.23,4.0137,-10.887,1694.13,-5.8796,2099.18,3.0171,-4.572,1,-2817.25,13799.7,0,185.62,6.3316,-44676.63,-10.51,707.25,1831.978,9.6717,-3.7236,-15.39,FALSE
-1.23,4.555,-16.42,1682.09,-6.6962,2428.68,5.982,-5.937,1,-2720.15,10978.2,0,167.728,7.1602,-45284.13,-14.458,291.75,2383.94,14.568,-1.9158,-15.16,TRUE
-4.23,3.6998,-10.303,1691.15,-5.4672,3275.18,6.063,-6.855,1,-2239.75,11172,0,162.4264,6.9338,-43865.82,-9.2514,-405.15,4045.54,13.623,-2.35,-15.65,TRUE
-1.23,4.2127,-8.403,1731.32,-5.8084,2741.22,3.1932,-3.0942,0,-2621.95,7582.2,0,183.88,13.068,-44188.059,-8.784,492.45,1802.72,9.5973,-2.0838,-15.49,FALSE
-1.23,3.8007,-15.818,1563.28,-6.7272,2702.89,2.7303,-0.9231,0,-2321.75,11256.3,0,188.68,9.894,-44188.695,-9.3818,199.95,2234.14,12.576,-3.2926,,TRUE
-4.23,3.5461,-12.518,1709.59,-6.3008,4106.78,2.8065,-3.1119,0,-1575.15,10092,1,171.194,6.4568,-44172.312,-9.752,-535.95,2642.34,11.1465,-2.0892,-14.73,TRUE
-1.23,3.8468,-12.043,1937.58,-8.516,2856.08,2.8701,-1.0383,1,-2724.05,7627.2,1,178.96,8.098,-44250.09,-9.896,79.26,1798.76,9.6312,-7.092,,FALSE
-1.23,5.689,-18.177,1681.42,-5.6974,2421.98,7.47,-10.269,1,-2637.05,14701.2,0,230.68,7.1358,-39543.03,-7.876,12315.75,2810.74,9.4269,-1.82404,,FALSE
-1.23,3.8077,-16.056,1688.56,-5.5522,3241.88,6.285,-1.9635,1,-2341.45,10576.8,1,185.16,6.3788,-44205.27,-7.69786,-30.96,3327.94,11.4645,-2.9726,,TRUE
-1.23,5.117,-14.23972,1917.48,-8.266,2693.35,2.53812,-0.51,1,-2578.33,11245.5,1,174.754,12.396,-44161.937,-9.2444,557.85,1790.46,16.368,-2.6142,,FALSE
-4.23,3.45581,-26.06,1810.28,-7.326,2965.38,9.909,-1.6833,1,-1879.05,11019.3,1,200.76,8.562,-37041.03,-8.8394,-326.61,2043.34,11.2971,-1.9826,,TRUE
-4.23,3.9919,-6.531,2411.98,-6.188,2818.18,5.67,-0.4569,0,-2430.82,10694.4,0,181.8,12.728,-44162.455,-9.996,-301.38,2215.54,10.2975,-2.8906,,TRUE
-4.23,4.452,-14.749,1708.31,-6.5248,3265.88,7.872,-3.693,0,-2429.63,11029.2,1,191.12,6.8124,-44160.557,-8.9564,-782.25,1930.68,15.015,-2.1316,-14.68,FALSE
-1.23,5.108,-8.649,1641.01,-6.059,2448.18,3.8391,-7.125,1,-2488.73,7771.2,1,167.384,7.9126,-44238.78,-9.5006,439.95,2270.14,9.6819,-1.93452,,TRUE
-4.23,3.8412,-13.022,1671.2129,-8.038,3378.98,4.1172,-3.246,0,-2203.45,8634.6,0,173.798,6.4642,-44002.05,-10.958,-266.49,2095.94,10.0014,-1.81284,,TRUE
-1.23,4.3128,-9.222,1689.22,-11.878,2739.16,2.38014,-8.541,0,-2668.85,9922.5,1,188.02,8.982,-44183.817,-7.7906,7560.75,1906.9,10.6674,-5.172,-16.06,TRUE
